delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mandeep Singh,KMDN Kulasekara,{'wides': 1},SE Marsh,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.2,Mandeep Singh,KMDN Kulasekara,{'wides': 1},SE Marsh,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.3,Mandeep Singh,KMDN Kulasekara,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.4,Mandeep Singh,KMDN Kulasekara,0,SE Marsh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.5,Mandeep Singh,KMDN Kulasekara,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.6,Mandeep Singh,KMDN Kulasekara,0,SE Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.7,SE Marsh,KMDN Kulasekara,{'wides': 1},Mandeep Singh,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.8,SE Marsh,KMDN Kulasekara,0,Mandeep Singh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
0.9,SE Marsh,KMDN Kulasekara,0,Mandeep Singh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.1,SE Marsh,JA Morkel,0,Mandeep Singh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.2,SE Marsh,JA Morkel,0,Mandeep Singh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.3,SE Marsh,JA Morkel,0,Mandeep Singh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.4,Mandeep Singh,JA Morkel,0,SE Marsh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.5,Mandeep Singh,JA Morkel,0,SE Marsh,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
1.6,Mandeep Singh,JA Morkel,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chennai,2012-04-28,male,T20,0,Kings XI Punjab,runs,7,0,0,0,0,Mandeep Singh,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,"MA Chidambaram Stadium, Chepauk"
