delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,MM Sharma,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
0.2,DR Smith,MM Sharma,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
0.3,DR Smith,MM Sharma,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
0.4,DR Smith,MM Sharma,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'DR Smith'}",0.0,0,0.0,0,0,lbw,DR Smith,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
0.5,KD Karthik,MM Sharma,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
0.6,KD Karthik,MM Sharma,0,AP Tare,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
1.1,AP Tare,JA Morkel,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'AP Tare'}",0.0,0,0.0,0,0,bowled,AP Tare,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
1.2,RG Sharma,JA Morkel,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
1.3,RG Sharma,JA Morkel,0,KD Karthik,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
1.4,KD Karthik,JA Morkel,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Kolkata,2013-05-26,male,T20,0,Mumbai Indians,runs,23,0,0,0,0,KA Pollard,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens
