delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,GC Smith,JA Morkel,0,NV Ojha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
0.2,NV Ojha,JA Morkel,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
0.3,NV Ojha,JA Morkel,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'NV Ojha'}",0.0,0.0,0.0,0,0,bowled,NV Ojha,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
0.4,SA Asnodkar,JA Morkel,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
0.5,SA Asnodkar,JA Morkel,0,GC Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
0.6,SA Asnodkar,JA Morkel,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.1,GC Smith,S Tyagi,0,SA Asnodkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.2,GC Smith,S Tyagi,0,SA Asnodkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.3,SA Asnodkar,S Tyagi,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.4,SA Asnodkar,S Tyagi,0,GC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.5,GC Smith,S Tyagi,0,SA Asnodkar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
1.6,GC Smith,S Tyagi,0,SA Asnodkar,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Kimberley,2009-05-09,male,T20,1,Chennai Super Kings,wickets,7,0,0,0,0,S Badrinath,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval
