delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Salman Butt,WPUJC Vaas,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
0.2,Salman Butt,WPUJC Vaas,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
0.3,Salman Butt,WPUJC Vaas,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
0.4,Salman Butt,WPUJC Vaas,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['AC Gilchrist'], 'kind': 'caught', 'player_out': 'Salman Butt'}",0.0,0.0,0.0,0,0,caught,Salman Butt,['AC Gilchrist'],0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
0.5,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2.0,0.0,2.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
0.6,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.1,A Chopra,DP Vijaykumar,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.2,A Chopra,DP Vijaykumar,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.3,A Chopra,DP Vijaykumar,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.4,A Chopra,DP Vijaykumar,0,SC Ganguly,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.5,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
1.6,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.1,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.2,A Chopra,WPUJC Vaas,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.3,A Chopra,WPUJC Vaas,0,SC Ganguly,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.4,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.5,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
2.6,SC Ganguly,WPUJC Vaas,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.1,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.2,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.3,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.4,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4.0,0.0,4.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.5,SC Ganguly,DP Vijaykumar,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,1.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
3.6,A Chopra,DP Vijaykumar,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
4.1,SC Ganguly,SB Styris,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
4.2,SC Ganguly,SB Styris,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,Kolkata Knight Riders,Hyderabad,2008-05-11,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,SC Ganguly,20,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal"
