delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Q de Kock,BW Hilfenhaus,{'legbyes': 4},M Vijay,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0,4.0,0.0,0,0,0,0,0,4,4,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
0.2,Q de Kock,BW Hilfenhaus,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
0.3,Q de Kock,BW Hilfenhaus,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
0.4,Q de Kock,BW Hilfenhaus,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
0.5,Q de Kock,BW Hilfenhaus,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
0.6,Q de Kock,BW Hilfenhaus,0,M Vijay,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
1.1,M Vijay,IC Pandey,0,Q de Kock,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
1.2,M Vijay,IC Pandey,0,Q de Kock,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
1.3,M Vijay,IC Pandey,0,Q de Kock,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
1.4,M Vijay,IC Pandey,0,Q de Kock,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2014-05-05,male,T20,0,Chennai Super Kings,wickets,8,0,0,0,0,DR Smith,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla
