delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Sehwag,Z Khan,0,M Vohra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
0.2,V Sehwag,Z Khan,0,M Vohra,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['AD Mathews'], 'kind': 'caught', 'player_out': 'V Sehwag'}",0.0,0.0,0.0,0,0,caught,V Sehwag,['AD Mathews'],0,0,0,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
0.3,SE Marsh,Z Khan,0,M Vohra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
0.4,SE Marsh,Z Khan,0,M Vohra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
0.5,SE Marsh,Z Khan,0,M Vohra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
0.6,M Vohra,Z Khan,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
1.1,SE Marsh,JP Duminy,0,M Vohra,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'lbw', 'player_out': 'SE Marsh'}",0.0,0.0,0.0,0,0,lbw,SE Marsh,0,0,0,0,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
1.2,WP Saha,JP Duminy,0,M Vohra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
1.3,M Vohra,JP Duminy,0,WP Saha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
1.4,M Vohra,JP Duminy,0,WP Saha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
1.5,WP Saha,JP Duminy,0,M Vohra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2015-05-01,male,T20,0,Delhi Daredevils,wickets,9,0,0,0,0,NM Coulter-Nile,20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Feroz Shah Kotla
