delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,CH Gayle,0,V Sehwag,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
0.2,DA Warner,CH Gayle,0,V Sehwag,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
0.3,DA Warner,CH Gayle,0,V Sehwag,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
0.4,V Sehwag,CH Gayle,0,DA Warner,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
0.5,V Sehwag,CH Gayle,0,DA Warner,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
0.6,V Sehwag,CH Gayle,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['WP Saha'], 'kind': 'stumped', 'player_out': 'V Sehwag'}",0.0,0.0,0.0,0.0,0,stumped,V Sehwag,['WP Saha'],0,0,0,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
1.1,DA Warner,CK Langeveldt,{'wides': 1},G Gambhir,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
1.2,DA Warner,CK Langeveldt,0,G Gambhir,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
1.3,DA Warner,CK Langeveldt,0,G Gambhir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
1.4,G Gambhir,CK Langeveldt,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2010-03-29,male,T20,0,Delhi Daredevils,runs,40,0,0,0,0,DA Warner,20,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla
