delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SV Samson,JD Unadkat,0,KK Nair,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
0.2,SV Samson,JD Unadkat,0,KK Nair,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
0.3,KK Nair,JD Unadkat,0,SV Samson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
0.4,SV Samson,JD Unadkat,0,KK Nair,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
0.5,SV Samson,JD Unadkat,0,KK Nair,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
0.6,KK Nair,JD Unadkat,0,SV Samson,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['BA Stokes'], 'kind': 'run out', 'player_out': 'SV Samson'}",0.0,0,0.0,0,0,run out,SV Samson,['BA Stokes'],0,0,0,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
1.1,KK Nair,SN Thakur,0,SS Iyer,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
1.2,KK Nair,SN Thakur,0,SS Iyer,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
1.3,SS Iyer,SN Thakur,0,KK Nair,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
1.4,SS Iyer,SN Thakur,0,KK Nair,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2017-05-12,male,T20,0,Delhi Daredevils,runs,7,0,0,0,0,KK Nair,20,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla
