delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,Z Khan,0,Ishan Kishan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
0.2,DR Smith,Z Khan,0,Ishan Kishan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
0.3,DR Smith,Z Khan,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
0.4,Ishan Kishan,Z Khan,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
0.5,Ishan Kishan,Z Khan,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
0.6,DR Smith,Z Khan,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
1.1,DR Smith,Mohammed Shami,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
1.2,Ishan Kishan,Mohammed Shami,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
1.3,Ishan Kishan,Mohammed Shami,{'wides': 1},DR Smith,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
1.4,Ishan Kishan,Mohammed Shami,0,DR Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Gujarat Lions,Kanpur,2017-05-10,male,T20,0,Delhi Daredevils,wickets,2,0,0,0,0,SS Iyer,20,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park
