delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,P Kumar,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.2,AM Rahane,P Kumar,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.3,AM Rahane,P Kumar,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['SK Raina'], 'kind': 'caught', 'player_out': 'AM Rahane'}",0.0,0,0.0,0,0,caught,AM Rahane,['SK Raina'],0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.4,SPD Smith,P Kumar,{'wides': 1},RA Tripathi,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.5,SPD Smith,P Kumar,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.6,SPD Smith,P Kumar,{'wides': 1},RA Tripathi,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.7,SPD Smith,P Kumar,0,RA Tripathi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
0.8,SPD Smith,P Kumar,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.1,RA Tripathi,Basil Thampi,0,SPD Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.2,RA Tripathi,Basil Thampi,0,SPD Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.3,RA Tripathi,Basil Thampi,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.4,SPD Smith,Basil Thampi,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.5,SPD Smith,Basil Thampi,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
1.6,SPD Smith,Basil Thampi,0,RA Tripathi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.1,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.2,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.3,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.4,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.5,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
2.6,SPD Smith,P Kumar,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.1,SPD Smith,SB Jakati,0,RA Tripathi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.2,SPD Smith,SB Jakati,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.3,SPD Smith,SB Jakati,0,RA Tripathi,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.4,SPD Smith,SB Jakati,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.5,SPD Smith,SB Jakati,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
3.6,RA Tripathi,SB Jakati,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
4.1,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
4.2,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
4.3,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
4.4,RA Tripathi,P Kumar,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
4.5,SPD Smith,P Kumar,0,RA Tripathi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rising Pune Supergiant,Rajkot,2017-04-14,male,T20,0,Gujarat Lions,wickets,7,0,0,0,0,AJ Tye,20,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Saurashtra Cricket Association Stadium
