delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,P Kumar,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
0.2,V Kohli,P Kumar,0,SR Watson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
0.3,SR Watson,P Kumar,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
0.4,SR Watson,P Kumar,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
0.5,SR Watson,P Kumar,0,V Kohli,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
0.6,V Kohli,P Kumar,0,SR Watson,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
1.1,SR Watson,DS Kulkarni,0,V Kohli,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
1.2,SR Watson,DS Kulkarni,0,V Kohli,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
1.3,V Kohli,DS Kulkarni,0,SR Watson,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
1.4,SR Watson,DS Kulkarni,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RA Jadeja'], 'kind': 'caught', 'player_out': 'SR Watson'}",0.0,0.0,0.0,0.0,0,caught,SR Watson,['RA Jadeja'],0,0,0,Royal Challengers Bangalore,Rajkot,2016-04-24,male,T20,0,Gujarat Lions,wickets,6,0,0,0,0,V Kohli,20,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Saurashtra Cricket Association Stadium
