delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,B Kumar,0,Ishan Kishan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
0.2,DR Smith,B Kumar,0,Ishan Kishan,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
0.3,DR Smith,B Kumar,0,Ishan Kishan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
0.4,DR Smith,B Kumar,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
0.5,Ishan Kishan,B Kumar,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
0.6,Ishan Kishan,B Kumar,0,DR Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.1,DR Smith,Mohammed Siraj,0,Ishan Kishan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.2,DR Smith,Mohammed Siraj,0,Ishan Kishan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.3,DR Smith,Mohammed Siraj,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.4,Ishan Kishan,Mohammed Siraj,0,DR Smith,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.5,Ishan Kishan,Mohammed Siraj,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
1.6,DR Smith,Mohammed Siraj,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
2.1,DR Smith,S Kaul,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
2.2,Ishan Kishan,S Kaul,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
2.3,Ishan Kishan,S Kaul,0,DR Smith,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
2.4,Ishan Kishan,S Kaul,0,DR Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
2.5,DR Smith,S Kaul,0,Ishan Kishan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Kanpur,2017-05-13,male,T20,0,Sunrisers Hyderabad,wickets,8,0,0,0,0,Mohammed Siraj,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park
