delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Mandeep Singh,DP Nannes,0,AC Gilchrist,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
0.2,Mandeep Singh,DP Nannes,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
0.3,Mandeep Singh,DP Nannes,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
0.4,Mandeep Singh,DP Nannes,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
0.5,Mandeep Singh,DP Nannes,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
0.6,AC Gilchrist,DP Nannes,0,Mandeep Singh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
1.1,Mandeep Singh,AS Rajpoot,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
1.2,AC Gilchrist,AS Rajpoot,0,Mandeep Singh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
1.3,Mandeep Singh,AS Rajpoot,{'legbyes': 1},AC Gilchrist,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
1.4,AC Gilchrist,AS Rajpoot,0,Mandeep Singh,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2013-04-10,male,T20,0,Chennai Super Kings,wickets,10,0,0,0,0,MEK Hussey,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali"
