delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,S Dhawan,P Kumar,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
0.2,S Dhawan,P Kumar,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
0.3,S Dhawan,P Kumar,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
0.4,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
0.5,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
0.6,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.1,S Dhawan,DJ Hussey,{'wides': 1},PA Patel,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.2,S Dhawan,DJ Hussey,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.3,PA Patel,DJ Hussey,{'legbyes': 1},S Dhawan,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.4,S Dhawan,DJ Hussey,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.5,PA Patel,DJ Hussey,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.6,PA Patel,DJ Hussey,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
1.7,S Dhawan,DJ Hussey,0,PA Patel,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.1,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.2,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.3,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.4,S Dhawan,P Kumar,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.5,S Dhawan,P Kumar,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
2.6,PA Patel,P Kumar,0,S Dhawan,"{'batsman': 5, 'extras': 0, 'total': 5}",0,0.0,0.0,0.0,0,0,0,0,0,5,0,5,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.1,PA Patel,RJ Harris,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.2,S Dhawan,RJ Harris,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.3,S Dhawan,RJ Harris,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.4,S Dhawan,RJ Harris,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.5,S Dhawan,RJ Harris,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
3.6,S Dhawan,RJ Harris,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.1,S Dhawan,P Awana,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.2,S Dhawan,P Awana,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.3,PA Patel,P Awana,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.4,PA Patel,P Awana,{'legbyes': 1},S Dhawan,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.5,S Dhawan,P Awana,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
4.6,S Dhawan,P Awana,0,PA Patel,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
5.1,PA Patel,Azhar Mahmood,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Deccan Chargers,Chandigarh,2012-05-13,male,T20,0,Kings XI Punjab,wickets,4,0,0,0,0,DJ Hussey,20,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali"
