delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BB McCullum,RR Powar,0,CH Gayle,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.2,BB McCullum,RR Powar,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.3,BB McCullum,RR Powar,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.4,BB McCullum,RR Powar,{'wides': 1},CH Gayle,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.5,BB McCullum,RR Powar,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.6,BB McCullum,RR Powar,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
0.7,CH Gayle,RR Powar,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.1,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.2,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.3,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.4,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.5,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
1.6,CH Gayle,IK Pathan,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
2.1,BB McCullum,YA Abdulla,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
2.2,CH Gayle,YA Abdulla,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
2.3,CH Gayle,YA Abdulla,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
2.4,CH Gayle,YA Abdulla,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
2.5,CH Gayle,YA Abdulla,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Port Elizabeth,2009-05-03,male,T20,1,Kings XI Punjab,wickets,6,0,0,0,0,DPMD Jayawardene,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park
