delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,Sandeep Sharma,0,MA Agarwal,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
0.2,MA Agarwal,Sandeep Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
0.3,MA Agarwal,Sandeep Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
0.4,MA Agarwal,Sandeep Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
0.5,MA Agarwal,Sandeep Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'MA Agarwal'}",0.0,0,0.0,0,0,bowled,MA Agarwal,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
0.6,SPD Smith,Sandeep Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.1,AM Rahane,MM Sharma,0,SPD Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.2,AM Rahane,MM Sharma,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.3,SPD Smith,MM Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.4,SPD Smith,MM Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.5,SPD Smith,MM Sharma,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
1.6,SPD Smith,MM Sharma,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
2.1,SPD Smith,Sandeep Sharma,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
2.2,AM Rahane,Sandeep Sharma,0,SPD Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Rising Pune Supergiant,Indore,2017-04-08,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Holkar Cricket Stadium
