delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
0.2,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
0.3,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
0.4,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
0.5,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
0.6,PC Valthaty,JJ van der Wath,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
1.1,PC Valthaty,CK Langeveldt,0,AC Gilchrist,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
1.2,PC Valthaty,CK Langeveldt,0,AC Gilchrist,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
1.3,PC Valthaty,CK Langeveldt,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
1.4,AC Gilchrist,CK Langeveldt,{'wides': 1},PC Valthaty,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Dharamsala,2011-05-17,male,T20,0,Kings XI Punjab,runs,111,0,0,0,0,AC Gilchrist,20,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium
