delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CA Pujara,DW Steyn,0,V Sehwag,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
0.2,V Sehwag,DW Steyn,0,CA Pujara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
0.3,V Sehwag,DW Steyn,0,CA Pujara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
0.4,V Sehwag,DW Steyn,0,CA Pujara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
0.5,V Sehwag,DW Steyn,0,CA Pujara,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
0.6,V Sehwag,DW Steyn,0,CA Pujara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
1.1,V Sehwag,B Kumar,0,CA Pujara,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
1.2,CA Pujara,B Kumar,0,V Sehwag,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
1.3,CA Pujara,B Kumar,0,V Sehwag,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
1.4,CA Pujara,B Kumar,0,V Sehwag,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,0,2014-04-22,male,T20,1,Kings XI Punjab,runs,72,0,0,0,0,GJ Maxwell,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium
