delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DR Smith,Shakib Al Hasan,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
0.2,DR Smith,Shakib Al Hasan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
0.3,DR Smith,Shakib Al Hasan,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
0.4,DR Smith,Shakib Al Hasan,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
0.5,BB McCullum,Shakib Al Hasan,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
0.6,BB McCullum,Shakib Al Hasan,0,DR Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.1,DR Smith,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.2,DR Smith,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'DR Smith'}",0.0,0.0,0.0,0,0,bowled,DR Smith,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.3,SK Raina,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.4,SK Raina,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.5,SK Raina,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
1.6,SK Raina,PJ Cummins,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.1,BB McCullum,UT Yadav,{'wides': 1},SK Raina,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.2,BB McCullum,UT Yadav,0,SK Raina,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.3,SK Raina,UT Yadav,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.4,SK Raina,UT Yadav,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.5,SK Raina,UT Yadav,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.6,SK Raina,UT Yadav,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
2.7,SK Raina,UT Yadav,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
3.1,BB McCullum,PJ Cummins,0,SK Raina,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
3.2,BB McCullum,PJ Cummins,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
3.3,BB McCullum,PJ Cummins,0,SK Raina,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
3.4,BB McCullum,PJ Cummins,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
3.5,BB McCullum,PJ Cummins,0,SK Raina,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Kolkata,2014-05-20,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
