delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
0.2,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
0.3,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
0.4,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
0.5,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
0.6,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.1,MS Bisla,I Sharma,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.2,MS Bisla,I Sharma,0,JH Kallis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.3,JH Kallis,I Sharma,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.4,JH Kallis,I Sharma,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.5,JH Kallis,I Sharma,0,MS Bisla,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
1.6,JH Kallis,I Sharma,0,MS Bisla,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
2.1,MS Bisla,DW Steyn,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
2.2,MS Bisla,DW Steyn,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
2.3,MS Bisla,DW Steyn,0,JH Kallis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
2.4,JH Kallis,DW Steyn,0,MS Bisla,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2011-04-11,male,T20,0,Kolkata Knight Riders,runs,9,0,0,0,0,JH Kallis,20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens
