delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Salman Butt,GD McGrath,{'legbyes': 1},A Chopra,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
0.2,A Chopra,GD McGrath,0,Salman Butt,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
0.3,A Chopra,GD McGrath,0,Salman Butt,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
0.4,A Chopra,GD McGrath,0,Salman Butt,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
0.5,Salman Butt,GD McGrath,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
0.6,Salman Butt,GD McGrath,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.1,Salman Butt,PJ Sangwan,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.2,Salman Butt,PJ Sangwan,0,A Chopra,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.3,Salman Butt,PJ Sangwan,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.4,A Chopra,PJ Sangwan,0,Salman Butt,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.5,A Chopra,PJ Sangwan,{'wides': 1},Salman Butt,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.6,A Chopra,PJ Sangwan,0,Salman Butt,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
1.7,Salman Butt,PJ Sangwan,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
2.1,Salman Butt,GD McGrath,0,A Chopra,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
2.2,Salman Butt,GD McGrath,0,A Chopra,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
2.3,A Chopra,GD McGrath,0,Salman Butt,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2008-05-13,male,T20,0,Kolkata Knight Riders,runs,23,0,0,0,0,Shoaib Akhtar,20,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens
