delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RV Uthappa,Sandeep Sharma,0,G Gambhir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
0.2,RV Uthappa,Sandeep Sharma,0,G Gambhir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
0.3,G Gambhir,Sandeep Sharma,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
0.4,G Gambhir,Sandeep Sharma,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
0.5,G Gambhir,Sandeep Sharma,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
0.6,G Gambhir,Sandeep Sharma,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
1.1,G Gambhir,MM Sharma,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
1.2,G Gambhir,MM Sharma,0,RV Uthappa,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
1.3,G Gambhir,MM Sharma,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
1.4,G Gambhir,MM Sharma,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2016-05-04,male,T20,0,Kolkata Knight Riders,runs,7,0,0,0,0,AD Russell,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Eden Gardens
