delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,LMP Simmons,M Morkel,0,CM Gautam,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.2,LMP Simmons,M Morkel,{'legbyes': 1},CM Gautam,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.3,CM Gautam,M Morkel,0,LMP Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.4,CM Gautam,M Morkel,0,LMP Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.5,CM Gautam,M Morkel,{'wides': 2},LMP Simmons,"{'batsman': 0, 'extras': 2, 'total': 2}",0,2.0,0.0,0.0,0,0,0,0,0,0,2,2,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.6,LMP Simmons,M Morkel,0,CM Gautam,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
0.7,LMP Simmons,M Morkel,0,CM Gautam,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
1.1,CM Gautam,UT Yadav,0,LMP Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
1.2,CM Gautam,UT Yadav,0,LMP Simmons,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
1.3,CM Gautam,UT Yadav,0,LMP Simmons,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Cuttack,2014-05-14,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,RV Uthappa,20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium
