delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
0.2,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
0.3,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4.0,0.0,4.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
0.4,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
0.5,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2.0,0.0,2.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
0.6,RV Uthappa,L Balaji,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
1.1,AJ Finch,SMSM Senanayake,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
1.2,RV Uthappa,SMSM Senanayake,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,1.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
1.3,AJ Finch,SMSM Senanayake,0,RV Uthappa,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4.0,0.0,4.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
1.4,AJ Finch,SMSM Senanayake,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Pune Warriors,Ranchi,2013-05-15,male,T20,0,Pune Warriors,runs,7,0,0,0,0,MK Pandey,20,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex
