delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,Sandeep Sharma,0,UBT Chand,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.2,RG Sharma,Sandeep Sharma,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.3,RG Sharma,Sandeep Sharma,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.4,RG Sharma,Sandeep Sharma,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.5,RG Sharma,Sandeep Sharma,0,UBT Chand,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0.6,UBT Chand,Sandeep Sharma,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.1,RG Sharma,MM Sharma,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.2,RG Sharma,MM Sharma,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.3,RG Sharma,MM Sharma,0,UBT Chand,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1.4,UBT Chand,MM Sharma,{'wides': 1},RG Sharma,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Mumbai Indians,Visakhapatnam,2016-05-13,male,T20,0,Kings XI Punjab,wickets,7,0,0,0,0,MP Stoinis,20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
