delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RJ Quiney,DS Kulkarni,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
0.2,RJ Quiney,DS Kulkarni,0,GC Smith,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
0.3,RJ Quiney,DS Kulkarni,0,GC Smith,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
0.4,RJ Quiney,DS Kulkarni,0,GC Smith,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
0.5,RJ Quiney,DS Kulkarni,0,GC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
0.6,GC Smith,DS Kulkarni,0,RJ Quiney,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
1.1,RJ Quiney,SL Malinga,0,GC Smith,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
1.2,GC Smith,SL Malinga,0,RJ Quiney,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
1.3,GC Smith,SL Malinga,0,RJ Quiney,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
1.4,GC Smith,SL Malinga,0,RJ Quiney,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Durban,2009-05-14,male,T20,1,Rajasthan Royals,runs,2,0,0,0,0,SK Warne,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead
