delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,MG Johnson,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.2,RA Tripathi,MG Johnson,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.3,RA Tripathi,MG Johnson,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.4,AM Rahane,MG Johnson,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.5,AM Rahane,MG Johnson,{'wides': 1},RA Tripathi,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.6,AM Rahane,MG Johnson,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
0.7,AM Rahane,MG Johnson,0,RA Tripathi,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
1.1,RA Tripathi,MJ McClenaghan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
1.2,RA Tripathi,MJ McClenaghan,0,AM Rahane,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
1.3,RA Tripathi,MJ McClenaghan,0,AM Rahane,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Rising Pune Supergiant,Mumbai,2017-04-24,male,T20,0,Rising Pune Supergiant,runs,3,0,0,0,0,BA Stokes,20,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium
