delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PA Patel,A Nehra,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
0.2,PA Patel,A Nehra,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
0.3,PA Patel,A Nehra,0,S Dhawan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
0.4,PA Patel,A Nehra,{'legbyes': 3},S Dhawan,"{'batsman': 0, 'extras': 3, 'total': 3}",0,0.0,0.0,3.0,0.0,0,0,0,0,0,3,3,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
0.5,S Dhawan,A Nehra,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
0.6,S Dhawan,A Nehra,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.1,S Dhawan,AC Thomas,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.2,PA Patel,AC Thomas,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.3,S Dhawan,AC Thomas,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.4,S Dhawan,AC Thomas,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.5,PA Patel,AC Thomas,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
1.6,PA Patel,AC Thomas,{'legbyes': 1},S Dhawan,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
2.1,PA Patel,MN Samuels,0,S Dhawan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
2.2,S Dhawan,MN Samuels,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
2.3,S Dhawan,MN Samuels,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Deccan Chargers,Pune,2012-04-26,male,T20,0,Deccan Chargers,runs,18,0,0,0,0,CL White,20,Pune Warriors,Deccan Chargers,Deccan Chargers,bat,Subrata Roy Sahara Stadium
