delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JD Ryder,IK Pathan,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
0.2,JD Ryder,IK Pathan,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'JD Ryder'}",0.0,0,0.0,0.0,0,bowled,JD Ryder,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
0.3,SC Ganguly,IK Pathan,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
0.4,SC Ganguly,IK Pathan,0,MK Pandey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
0.5,MK Pandey,IK Pathan,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
0.6,MK Pandey,IK Pathan,0,SC Ganguly,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.1,SC Ganguly,M Morkel,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.2,SC Ganguly,M Morkel,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['S Nadeem'], 'kind': 'caught', 'player_out': 'SC Ganguly'}",0.0,0,0.0,0.0,0,caught,SC Ganguly,['S Nadeem'],0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.3,RV Uthappa,M Morkel,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.4,RV Uthappa,M Morkel,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.5,RV Uthappa,M Morkel,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
1.6,RV Uthappa,M Morkel,0,MK Pandey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
2.1,RV Uthappa,IK Pathan,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
2.2,RV Uthappa,IK Pathan,0,MK Pandey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
2.3,RV Uthappa,IK Pathan,0,MK Pandey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
2.4,MK Pandey,IK Pathan,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
2.5,MK Pandey,IK Pathan,0,RV Uthappa,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Pune Warriors,Pune,2012-04-24,male,T20,0,Delhi Daredevils,wickets,8,0,0,0,0,V Sehwag,20,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium
