delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AC Gilchrist,AC Thomas,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
0.2,AC Gilchrist,AC Thomas,0,SE Marsh,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
0.3,SE Marsh,AC Thomas,0,AC Gilchrist,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
0.4,AC Gilchrist,AC Thomas,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['RV Uthappa'], 'kind': 'caught', 'player_out': 'AC Gilchrist'}",0.0,0.0,0.0,0,0,caught,AC Gilchrist,['RV Uthappa'],0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
0.5,PC Valthaty,AC Thomas,0,SE Marsh,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
0.6,PC Valthaty,AC Thomas,0,SE Marsh,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.1,SE Marsh,SB Wagh,{'wides': 1},PC Valthaty,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.2,SE Marsh,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.3,SE Marsh,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['R Sharma'], 'kind': 'caught', 'player_out': 'SE Marsh'}",0.0,0.0,0.0,0,0,caught,SE Marsh,['R Sharma'],0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.4,KD Karthik,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.5,KD Karthik,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.6,KD Karthik,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
1.7,KD Karthik,SB Wagh,0,PC Valthaty,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.1,PC Valthaty,AC Thomas,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.2,PC Valthaty,AC Thomas,0,KD Karthik,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.3,PC Valthaty,AC Thomas,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.4,PC Valthaty,AC Thomas,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['JD Ryder'], 'kind': 'caught', 'player_out': 'PC Valthaty'}",0.0,0.0,0.0,0,0,caught,PC Valthaty,['JD Ryder'],0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.5,AM Nayar,AC Thomas,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
2.6,AM Nayar,AC Thomas,0,KD Karthik,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.1,KD Karthik,SB Wagh,0,AM Nayar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.2,KD Karthik,SB Wagh,0,AM Nayar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.3,KD Karthik,SB Wagh,0,AM Nayar,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['R Sharma'], 'kind': 'caught', 'player_out': 'KD Karthik'}",0.0,0.0,0.0,0,0,caught,KD Karthik,['R Sharma'],0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.4,Sunny Singh,SB Wagh,0,AM Nayar,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.5,Sunny Singh,SB Wagh,0,AM Nayar,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
3.6,Sunny Singh,SB Wagh,0,AM Nayar,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
4.1,AM Nayar,WD Parnell,{'legbyes': 4},Sunny Singh,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0,0,0,0,0,0,4,4,Kings XI Punjab,Mumbai,2011-04-10,male,T20,0,Pune Warriors,wickets,7,0,0,0,0,SB Wagh,20,Pune Warriors,Kings XI Punjab,Kings XI Punjab,bat,Dr DY Patil Sports Academy
