delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AJ Finch,TG Southee,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
0.2,AJ Finch,TG Southee,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
0.3,PA Patel,TG Southee,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
0.4,AJ Finch,TG Southee,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
0.5,AJ Finch,TG Southee,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
0.6,AJ Finch,TG Southee,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.1,PA Patel,CH Morris,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.2,PA Patel,CH Morris,0,AJ Finch,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.3,PA Patel,CH Morris,0,AJ Finch,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.4,AJ Finch,CH Morris,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.5,AJ Finch,CH Morris,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
1.6,AJ Finch,CH Morris,0,PA Patel,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.1,PA Patel,DS Kulkarni,0,AJ Finch,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.2,PA Patel,DS Kulkarni,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.3,AJ Finch,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.4,AJ Finch,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.5,AJ Finch,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
2.6,AJ Finch,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.1,PA Patel,STR Binny,0,AJ Finch,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.2,AJ Finch,STR Binny,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.3,AJ Finch,STR Binny,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}","{'kind': 'retired hurt', 'player_out': 'AJ Finch'}",0.0,0.0,0.0,0.0,0,retired hurt,AJ Finch,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.4,PA Patel,STR Binny,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.5,PA Patel,STR Binny,0,UBT Chand,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
3.6,PA Patel,STR Binny,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.1,UBT Chand,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.2,UBT Chand,DS Kulkarni,0,PA Patel,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.3,UBT Chand,DS Kulkarni,0,PA Patel,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.4,PA Patel,DS Kulkarni,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['CH Morris'], 'kind': 'caught', 'player_out': 'PA Patel'}",0.0,0.0,0.0,0.0,0,caught,PA Patel,['CH Morris'],0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.5,RG Sharma,DS Kulkarni,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
4.6,RG Sharma,DS Kulkarni,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.1,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.2,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.3,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.4,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.5,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
5.6,UBT Chand,TG Southee,0,RG Sharma,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
6.1,RG Sharma,STR Binny,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
6.2,RG Sharma,STR Binny,0,UBT Chand,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Ahmedabad,2015-04-14,male,T20,0,Rajasthan Royals,wickets,7,0,0,0,0,SPD Smith,20,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
