delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,A Chandila,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
0.2,V Kohli,A Chandila,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
0.3,TM Dilshan,A Chandila,0,V Kohli,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
0.4,TM Dilshan,A Chandila,0,V Kohli,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
0.5,V Kohli,A Chandila,0,TM Dilshan,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
0.6,V Kohli,A Chandila,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
1.1,V Kohli,Pankaj Singh,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
1.2,V Kohli,Pankaj Singh,0,TM Dilshan,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
1.3,V Kohli,Pankaj Singh,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
1.4,V Kohli,Pankaj Singh,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2012-04-23,male,T20,0,Royal Challengers Bangalore,runs,46,0,0,0,0,AB de Villiers,20,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium
