delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,BB McCullum,KP Pietersen,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['V Kohli'], 'kind': 'caught', 'player_out': 'BB McCullum'}",0.0,0,0.0,0.0,0,caught,BB McCullum,['V Kohli'],0,0,0,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.2,BJ Hodge,KP Pietersen,{'wides': 1},CH Gayle,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.3,BJ Hodge,KP Pietersen,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.4,BJ Hodge,KP Pietersen,0,CH Gayle,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.5,CH Gayle,KP Pietersen,0,BJ Hodge,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.6,CH Gayle,KP Pietersen,0,BJ Hodge,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
0.7,BJ Hodge,KP Pietersen,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
1.1,CH Gayle,RE van der Merwe,0,BJ Hodge,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
1.2,CH Gayle,RE van der Merwe,0,BJ Hodge,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
1.3,CH Gayle,RE van der Merwe,0,BJ Hodge,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Durban,2009-04-29,male,T20,1,Royal Challengers Bangalore,wickets,5,0,0,0,0,MV Boucher,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead
