delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JH Kallis,A Singh,0,W Jaffer,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.2,JH Kallis,A Singh,0,W Jaffer,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.3,W Jaffer,A Singh,0,JH Kallis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.4,JH Kallis,A Singh,0,W Jaffer,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.5,JH Kallis,A Singh,{'wides': 1},W Jaffer,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0,0,0,0,0,0,0,1,1,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.6,JH Kallis,A Singh,0,W Jaffer,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
0.7,JH Kallis,A Singh,0,W Jaffer,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.1,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.2,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0,0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.3,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.4,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.5,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
1.6,W Jaffer,M Morkel,0,JH Kallis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
2.1,W Jaffer,A Singh,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
2.2,W Jaffer,A Singh,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['LA Carseldine'], 'kind': 'caught', 'player_out': 'W Jaffer'}",0.0,0.0,0,0,0,caught,W Jaffer,['LA Carseldine'],0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
2.3,RV Uthappa,A Singh,0,JH Kallis,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
2.4,JH Kallis,A Singh,0,RV Uthappa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Centurion,2009-05-07,male,T20,1,Rajasthan Royals,wickets,7,0,0,0,0,A Singh,20,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park
