delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,AF Milne,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
0.2,AM Rahane,AF Milne,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
0.3,AM Rahane,AF Milne,0,RA Tripathi,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
0.4,AM Rahane,AF Milne,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
0.5,RA Tripathi,AF Milne,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
0.6,AM Rahane,AF Milne,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
1.1,AM Rahane,S Badree,0,RA Tripathi,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
1.2,AM Rahane,S Badree,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
1.3,RA Tripathi,S Badree,0,AM Rahane,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
1.4,AM Rahane,S Badree,0,RA Tripathi,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rising Pune Supergiant,Bangalore,2017-04-16,male,T20,0,Rising Pune Supergiant,runs,27,0,0,0,0,BA Stokes,20,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
