delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,AB Dinda,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
0.2,DA Warner,AB Dinda,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
0.3,DA Warner,AB Dinda,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
0.4,DA Warner,AB Dinda,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['AM Rahane'], 'kind': 'caught', 'player_out': 'DA Warner'}",0.0,0,0.0,0,0,caught,DA Warner,['AM Rahane'],0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
0.5,AP Tare,AB Dinda,{'legbyes': 4},S Dhawan,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0,4.0,0,0,0,0,0,0,4,4,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
0.6,AP Tare,AB Dinda,0,S Dhawan,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
1.1,S Dhawan,MR Marsh,0,AP Tare,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
1.2,S Dhawan,MR Marsh,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
1.3,S Dhawan,MR Marsh,0,AP Tare,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
1.4,S Dhawan,MR Marsh,0,AP Tare,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2016-04-26,male,T20,0,Rising Pune Supergiants,runs,34,0,0,0,0,AB Dinda,20,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal"
