delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CH Gayle,DW Steyn,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.2,TM Dilshan,DW Steyn,0,CH Gayle,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.3,TM Dilshan,DW Steyn,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.4,TM Dilshan,DW Steyn,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.5,TM Dilshan,DW Steyn,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.6,TM Dilshan,DW Steyn,{'wides': 5},CH Gayle,"{'batsman': 0, 'extras': 5, 'total': 5}",0,5.0,0,0.0,0.0,0,0,0,0,0,5,5,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
0.7,TM Dilshan,DW Steyn,0,CH Gayle,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
1.1,CH Gayle,GH Vihari,0,TM Dilshan,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['PA Patel'], 'kind': 'caught', 'player_out': 'CH Gayle'}",0.0,0,0.0,0.0,0,caught,CH Gayle,['PA Patel'],0,0,0,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
1.2,V Kohli,GH Vihari,0,TM Dilshan,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
1.3,TM Dilshan,GH Vihari,0,V Kohli,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Hyderabad,2013-04-07,male,T20,0,0,0,0,tie,eliminator,Sunrisers Hyderabad,0,GH Vihari,20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
