bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Ashish Reddy,4,39,0,2,9.75,2012-05-08,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
A Chandila,3,14,0,0,4.666666666666667,2013-04-14,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
A Chandila,4,24,0,1,6.0,2013-05-09,Rajasthan Royals,Rajasthan Royals,0,"Punjab Cricket Association Stadium, Mohali"
A Choudhary,4,17,1,2,4.25,2017-05-05,Kings XI Punjab,Kings XI Punjab,0,M Chinnaswamy Stadium
A Kumble,3,36,0,0,12.0,2008-05-05,Kings XI Punjab,Kings XI Punjab,0,M Chinnaswamy Stadium
A Kumble,4,36,0,0,9.0,2008-05-12,Royal Challengers Bangalore,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
A Kumble,4,19,0,1,4.75,2009-04-24,Kings XI Punjab,Kings XI Punjab,0,Kingsmead
A Kumble,4,25,0,2,6.25,2009-05-01,Kings XI Punjab,Royal Challengers Bangalore,0,Kingsmead
A Kumble,4,40,0,0,10.0,2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
A Kumble,4,33,0,1,8.25,2010-04-02,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association Stadium, Mohali"
A Mishra,2,21,0,1,10.5,2008-05-17,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
A Mishra,4,23,0,1,5.75,2010-03-13,Delhi Daredevils,Delhi Daredevils,0,"Punjab Cricket Association Stadium, Mohali"
A Mishra,4,15,0,1,3.75,2010-04-11,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
A Mishra,4,28,0,2,7.0,2011-04-16,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
A Mishra,4,9,1,4,2.25,2011-05-21,Deccan Chargers,Deccan Chargers,0,Himachal Pradesh Cricket Association Stadium
A Mishra,2,20,0,0,10.0,2012-05-08,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
A Mishra,3,31,0,1,10.333333333333334,2012-05-13,Deccan Chargers,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
A Mishra,4,29,0,3,7.25,2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
A Mishra,2,20,0,0,10.0,2013-05-11,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association Stadium, Mohali"
A Mishra,4,56,0,2,14.0,2014-04-22,Sunrisers Hyderabad,Kings XI Punjab,0,Sharjah Cricket Stadium
A Mishra,4,32,0,1,8.0,2014-05-14,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
A Mishra,4,34,0,1,8.5,2015-04-15,Delhi Daredevils,Delhi Daredevils,0,Maharashtra Cricket Association Stadium
A Mishra,2,10,0,1,5.0,2015-05-01,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
A Mishra,3,11,0,4,3.6666666666666665,2016-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
A Mishra,4,37,0,0,9.25,2016-05-07,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
A Mishra,3,16,0,1,5.333333333333333,2017-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
A Mishra,1,9,0,0,9.0,2017-04-30,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
A Mithun,3,29,0,0,9.666666666666666,2011-05-06,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
A Mithun,3,29,0,0,9.666666666666666,2011-05-17,Royal Challengers Bangalore,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
A Nehra,3,22,0,2,7.333333333333333,2008-04-25,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
A Nehra,3,34,0,0,11.333333333333334,2008-05-21,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
A Nehra,4,6,1,1,1.5,2009-05-15,Kings XI Punjab,Kings XI Punjab,0,OUTsurance Oval
A Nehra,2,8,0,0,4.0,2010-04-11,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
A Nehra,3,20,0,1,6.666666666666667,2012-04-08,Kings XI Punjab,Pune Warriors,0,Subrata Roy Sahara Stadium
A Nehra,3,22,0,0,7.333333333333333,2012-04-12,Pune Warriors,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
A Nehra,3,28,0,1,9.333333333333334,2013-04-23,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
