bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Mishra,4,12,0,1,3.0,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
A Mithun,1,19,0,0,19.0,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
A Mithun,3,21,0,2,7.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
A Singh,4,26,0,1,6.5,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
AA Chavan,1,10,0,0,10.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
AB Agarkar,4,23,0,2,5.75,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
AB Agarkar,3,18,0,0,6.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
AC Thomas,3,31,0,1,10.333333333333334,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
AG Murtaza,4,37,0,0,9.25,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
AUK Pathan,2,19,0,0,9.5,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
B Akhil,2,22,0,0,11.0,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
B Lee,4,33,0,1,8.25,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
B Lee,4,42,1,0,10.5,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
BA Bhatt,4,36,0,0,9.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
BJ Hodge,2,14,0,2,7.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
BJ Hodge,2,26,0,0,13.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
BJ Hodge,4,13,0,5,3.25,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
Bipul Sharma,4,32,0,2,8.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
CH Gayle,4,26,0,2,6.5,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
DE Bollinger,3,18,0,1,6.0,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,0,Nehru Stadium
DE Bollinger,4,38,0,2,9.5,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,36,0,1,9.0,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DL Vettori,4,17,0,1,4.25,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
DL Vettori,4,24,0,2,6.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
DP Nannes,3,31,0,1,10.333333333333334,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
DT Christian,3,12,0,0,4.0,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
DW Steyn,3,16,2,3,5.333333333333333,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
Harbhajan Singh,4,33,0,0,8.25,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
I Sharma,3,12,0,5,4.0,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
IK Pathan,4,27,0,2,6.75,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
IK Pathan,4,38,0,0,9.5,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
Iqbal Abdulla,4,23,0,0,5.75,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
