,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
1,0.2,DA Warner,AC Thomas,{'legbyes': 1},NV Ojha,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
2,0.3,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
3,0.4,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
4,0.5,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
5,0.6,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
6,1.1,DA Warner,JP Faulkner,{'legbyes': 1},NV Ojha,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
7,1.2,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
8,1.3,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
9,1.4,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
10,1.5,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
11,1.6,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
12,2.1,DA Warner,AC Thomas,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
13,2.2,DA Warner,AC Thomas,0,NV Ojha,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
14,2.3,DA Warner,AC Thomas,0,NV Ojha,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0.0,6.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
15,2.4,DA Warner,AC Thomas,0,NV Ojha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
16,2.5,NV Ojha,AC Thomas,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
17,2.6,DA Warner,AC Thomas,0,NV Ojha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
18,3.1,DA Warner,JP Faulkner,0,NV Ojha,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0.0,6.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
19,3.2,DA Warner,JP Faulkner,0,NV Ojha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
20,3.3,NV Ojha,JP Faulkner,0,DA Warner,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
21,3.4,DA Warner,JP Faulkner,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'DA Warner'}",0.0,0.0,0.0,0.0,0.0,bowled,DA Warner,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
22,3.5,MS Wade,JP Faulkner,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
23,3.6,MS Wade,JP Faulkner,0,NV Ojha,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
24,4.1,MS Wade,AC Thomas,{'legbyes': 1},NV Ojha,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
25,4.2,NV Ojha,AC Thomas,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
26,4.3,NV Ojha,AC Thomas,0,MS Wade,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
27,4.4,MS Wade,AC Thomas,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
28,4.5,MS Wade,AC Thomas,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
29,4.6,MS Wade,AC Thomas,0,NV Ojha,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
30,5.1,NV Ojha,SS Mundhe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
31,5.2,NV Ojha,SS Mundhe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
32,5.3,NV Ojha,SS Mundhe,{'wides': 1},MS Wade,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
33,5.4,NV Ojha,SS Mundhe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
34,5.5,NV Ojha,SS Mundhe,0,MS Wade,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,4.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
35,5.6,NV Ojha,SS Mundhe,0,MS Wade,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['R Sharma'], 'kind': 'caught', 'player_out': 'NV Ojha'}",0.0,0.0,0.0,0.0,0.0,caught,NV Ojha,['R Sharma'],0.0,0.0,0.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
36,5.7,MS Wade,SS Mundhe,0,CA Ingram,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
37,6.1,MS Wade,MR Marsh,0,CA Ingram,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
38,6.2,CA Ingram,MR Marsh,0,MS Wade,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
39,6.3,MS Wade,MR Marsh,0,CA Ingram,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,1.0,Delhi Daredevils,Delhi,2011-05-21,male,T20,0,0,0,0,0,0,0,0,0,20,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Feroz Shah Kotla
