,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,AJ Finch,B Kumar,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
1,0.2,AJ Finch,B Kumar,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
2,0.3,AJ Finch,B Kumar,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
3,0.4,AJ Finch,B Kumar,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}","{'kind': 'bowled', 'player_out': 'AJ Finch'}",0.0,0,0.0,0.0,0,bowled,AJ Finch,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
4,0.5,SK Raina,B Kumar,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
5,0.6,SK Raina,B Kumar,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
6,1.1,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
7,1.2,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
8,1.3,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
9,1.4,BB McCullum,BB Sran,0,SK Raina,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
10,1.5,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
11,1.6,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
12,2.1,SK Raina,B Kumar,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
13,2.2,SK Raina,B Kumar,0,BB McCullum,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
14,2.3,SK Raina,B Kumar,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
15,2.4,SK Raina,B Kumar,{'legbyes': 1},BB McCullum,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
16,2.5,BB McCullum,B Kumar,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
17,2.6,BB McCullum,B Kumar,0,SK Raina,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
18,3.1,BB McCullum,Mustafizur Rahman,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
19,3.2,BB McCullum,Mustafizur Rahman,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
20,3.3,BB McCullum,Mustafizur Rahman,0,SK Raina,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
21,3.4,SK Raina,Mustafizur Rahman,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
22,3.5,BB McCullum,Mustafizur Rahman,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
23,3.6,BB McCullum,Mustafizur Rahman,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
24,4.1,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
25,4.2,SK Raina,BB Sran,0,BB McCullum,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
26,4.3,BB McCullum,BB Sran,0,SK Raina,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
27,4.4,BB McCullum,BB Sran,0,SK Raina,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
28,4.5,BB McCullum,BB Sran,0,SK Raina,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
29,4.6,BB McCullum,BB Sran,0,SK Raina,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
30,5.1,SK Raina,DJ Hooda,0,BB McCullum,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Lions,Rajkot,2016-04-21,male,T20,0,Sunrisers Hyderabad,wickets,10,0,0,0,0,B Kumar,20,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Saurashtra Cricket Association Stadium
